[2024-07-05 21:20:13.889027]; Lat: -33.458253; Long: -70.662045; Alt: 552.492;
[2024-07-05 21:20:14.892381]; Lat: -33.458253; Long: -70.662045; Alt: 552.492;
[2024-07-05 21:20:15.898372]; Lat: -33.458253; Long: -70.662045; Alt: 552.497;
[2024-07-05 21:20:16.903969]; Lat: -33.458253; Long: -70.662045; Alt: 552.497;
[2024-07-05 21:20:17.907082]; Lat: -33.458253; Long: -70.662045; Alt: 552.497;
[2024-07-05 21:20:18.913213]; Lat: -33.458253; Long: -70.662046; Alt: 552.502;
[2024-07-05 21:20:19.918817]; Lat: -33.458253; Long: -70.662046; Alt: 552.502;
[2024-07-05 21:20:20.923110]; Lat: -33.458253; Long: -70.662046; Alt: 552.502;
[2024-07-05 21:20:21.929110]; Lat: -33.458253; Long: -70.662046; Alt: 552.503;
[2024-07-05 21:20:22.934655]; Lat: -33.458253; Long: -70.662046; Alt: 552.503;
[2024-07-05 21:20:23.937723]; Lat: -33.458253; Long: -70.662046; Alt: 552.503;
[2024-07-05 21:20:24.943812]; Lat: -33.458253; Long: -70.662046; Alt: 552.529;
[2024-07-05 21:20:25.949421]; Lat: -33.458253; Long: -70.662046; Alt: 552.529;
[2024-07-05 21:20:26.952324]; Lat: -33.458253; Long: -70.662046; Alt: 552.529;
[2024-07-05 21:20:27.958327]; Lat: -33.458255; Long: -70.662048; Alt: 552.568;
[2024-07-05 21:20:28.963813]; Lat: -33.458255; Long: -70.662048; Alt: 552.568;
[2024-07-05 21:20:29.966897]; Lat: -33.458255; Long: -70.662048; Alt: 552.568;
[2024-07-05 21:20:30.974379]; Lat: -33.458255; Long: -70.662048; Alt: 552.579;
[2024-07-05 21:20:31.980023]; Lat: -33.458255; Long: -70.662048; Alt: 552.579;
[2024-07-05 21:20:32.982929]; Lat: -33.458255; Long: -70.662048; Alt: 552.579;
[2024-07-05 21:20:33.988901]; Lat: -33.458256; Long: -70.662048; Alt: 552.593;
[2024-07-05 21:20:34.994385]; Lat: -33.458256; Long: -70.662048; Alt: 552.593;
[2024-07-05 21:20:35.997486]; Lat: -33.458256; Long: -70.662048; Alt: 552.593;
[2024-07-05 21:20:37.003597]; Lat: -33.458256; Long: -70.66205; Alt: 552.668;
[2024-07-05 21:20:38.009097]; Lat: -33.458256; Long: -70.66205; Alt: 552.668;
[2024-07-05 21:20:39.012001]; Lat: -33.458256; Long: -70.66205; Alt: 552.668;
[2024-07-05 21:20:40.017964]; Lat: -33.458256; Long: -70.662048; Alt: 552.681;
[2024-07-05 21:20:41.024960]; Lat: -33.458256; Long: -70.662048; Alt: 552.681;
[2024-07-05 21:20:42.029279]; Lat: -33.458256; Long: -70.662048; Alt: 552.681;
[2024-07-05 21:20:43.035669]; Lat: -33.458256; Long: -70.662048; Alt: 552.672;
[2024-07-05 21:20:44.041169]; Lat: -33.458256; Long: -70.662048; Alt: 552.672;
